numeric_id,canonical_symbol,catalog_kind,catalog_layer,map_group,map_group_name,map_kind_label,step,phase,responsible_file,service_home_authoritative,candidate_service_INFERRED,owned_channels,mapped_file_count,csv_symbol_tokens,stale_csv_symbol,submodule_doc_status,flags
50000000000000000001,F1_CONFIG_PREFERENCES,INFRA_PLATFORM_MODULE,1,G0,Infrastructure Platform,INFRA_PLATFORM_MODULE,S01,PHASE_A,configuration_service.py,services/calendar-ingestor or standalone,common?,,0,,,MISSING,NO_FILES | SUBMODULE_UNDOC | PREFIX_COLLISION_F1
50000000000000000002,F3_CLOCK_SCHEDULER,INFRA_PLATFORM_MODULE,1,G0,Infrastructure Platform,INFRA_PLATFORM_MODULE,S02,PHASE_A,scheduler.py,services/calendar-ingestor,calendar-ingestor,,0,,,MISSING,NO_FILES | SUBMODULE_UNDOC
50000000000000000003,D2_CALENDAR_SOURCE_ADAPTER,INTEGRATION_BRIDGE_MODULE,2,G1,Data Ingest Layer,INTEGRATION_BRIDGE_MODULE,S03,PHASE_B,calendar_service.py::poll_scheduler,UNBOUND (not in map),calendar-ingestor,,11,D2_CALENDAR_SOURCE_ADAPTER,,YES (3 subs),SERVICE_UNBOUND
50000000000000000004,D3_CALENDAR_NORMALIZER,INTEGRATION_BRIDGE_MODULE,2,G1,Data Ingest Layer,INTEGRATION_BRIDGE_MODULE,S04,PHASE_B,calendar_service.py::normalize_events,UNBOUND (not in map),calendar-ingestor,,11,D3_CALENDAR_NORMALIZER,,YES (3 subs),SERVICE_UNBOUND
50000000000000000005,F2_EVENT_LOG,INFRA_PLATFORM_MODULE,1,G0,Infrastructure Platform,INFRA_PLATFORM_MODULE,S05,PHASE_B,event_log.py,Postgres via event_log.py,(Postgres - infra),,11,F2_EVENT_LOG,,MISSING,SUBMODULE_UNDOC
50000000000000000006,D4_CALENDAR_TRIGGER_BUILDER,INTEGRATION_BRIDGE_MODULE,2,G1,Data Ingest Layer,INTEGRATION_BRIDGE_MODULE,S06,PHASE_B,calendar_anticipator.py,UNBOUND (not in map),calendar-ingestor,,11,D4_CALENDAR_TRIGGER_BUILDER,,MISSING,SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000007,D1_MARKET_FEED_ADAPTER,INTEGRATION_BRIDGE_MODULE,2,G1,Data Ingest Layer,INTEGRATION_BRIDGE_MODULE,S07,PHASE_C,market_feed_adapter.py,UNBOUND (not in map),data-ingestor,dde_price_feed,12,D1_MARKET_FEED_ADAPTER,,MISSING,SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000008,C1_BAR_BUILDER,PIPELINE_STAGE_MODULE,3,G2,Compute / Feature Layer,COMPUTE_MODULE,S08,PHASE_C,bar_builder.py,UNBOUND (not in map),indicator-engine,,0,,,MISSING,KIND_MISMATCH | NO_FILES | SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000009,C2_INDICATOR_ENGINE,PIPELINE_STAGE_MODULE,3,G2,Compute / Feature Layer,COMPUTE_MODULE,S09,PHASE_C,indicator_engine.py,UNBOUND (not in map),indicator-engine,,4,C2_INDICATOR_ENGINE,,MISSING,KIND_MISMATCH | SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000010,C3_FEATURE_PACKAGER,PIPELINE_STAGE_MODULE,3,G2,Compute / Feature Layer,COMPUTE_MODULE,S10,PHASE_D,feature_packager.py,UNBOUND (not in map),indicator-engine,,0,,,MISSING,KIND_MISMATCH | NO_FILES | SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000011,S1_SIGNAL_ENGINE,PIPELINE_STAGE_MODULE,4,G3,Signal & Intent Layer,SIGNAL_MODULE,S11,PHASE_E,signal_generator.py,UNBOUND (not in map),signal-generator,,1,S1_SIGNAL_ENGINE,,MISSING,KIND_MISMATCH | SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000012,S2_INTENT_BUILDER,PIPELINE_STAGE_MODULE,4,G3,Signal & Intent Layer,SIGNAL_MODULE,S12,PHASE_E,intent_builder.py,UNBOUND (not in map),signal-generator?,,0,,,MISSING,KIND_MISMATCH | NO_FILES | SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000013,R1_RISK_EVALUATOR,PIPELINE_STAGE_MODULE,4,G4,Risk Management,RISK_MODULE,S13,PHASE_E,risk_manager.py,UNBOUND (not in map),risk-manager,,2,R1_RISK_EVALUATOR,,YES (3 subs),KIND_MISMATCH | SERVICE_UNBOUND | CHECKLIST_KEY_FMT
50000000000000000014,R2_ORDER_INTENT_COMPILER,PIPELINE_STAGE_MODULE,4,G4,Risk Management,RISK_MODULE,S14,PHASE_F,order_intent_compiler.py,UNBOUND (not in map),risk-manager,,10,R2_ORDER_INTENT_COMPILER,,MISSING,KIND_MISMATCH | SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000015,O1_ORDER_ROUTER,PIPELINE_STAGE_MODULE,4,G5,Order Management & Routing,OMS_MODULE,S15,PHASE_G,order_router.py,UNBOUND (not in map),transport-router? / execution-engine?,,10,O1_ORDER_ROUTER,,MISSING,KIND_MISMATCH | SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000016,B1_MT4_ADAPTER_TRANSPORT,INTEGRATION_BRIDGE_MODULE,4,G6,MT4 Bridge Layer,INTEGRATION_BRIDGE_MODULE,S16,PHASE_G,transport_service.py,UNBOUND (not in map),transport-router,jsonl_outbox;csv_transport;tcp_socket_fallback(disabled),10,B1_MT4_ADAPTER_TRANSPORT,,YES (3 subs),SERVICE_UNBOUND
50000000000000000017,B2_MT4_EA_EXECUTOR,INTEGRATION_BRIDGE_MODULE,4,G6,MT4 Bridge Layer,INTEGRATION_BRIDGE_MODULE,S17,PHASE_G,EAFIX.mq4,UNBOUND (not in map),(EA-side MQL4),http_rest_primary(5001),2,B2_MT4_EA_EXECUTOR,,MISSING,SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000018,B3_EXEC_EVENT_NORMALIZER,INTEGRATION_BRIDGE_MODULE,4,G6,MT4 Bridge Layer,INTEGRATION_BRIDGE_MODULE,S18,PHASE_H,result_processor.py,UNBOUND (not in map),execution-engine,redis_pubsub_bus,0,,,MISSING,NO_FILES | SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000019,O2_OMS_STATE_MACHINE,PIPELINE_STAGE_MODULE,4,G5,Order Management & Routing,OMS_MODULE,S19,PHASE_I,oms.py,UNBOUND (not in map),execution-engine,,2,O2_OMS,O2_OMS,YES (3 subs),KIND_MISMATCH | STALE_CSV_SYMBOL | SERVICE_UNBOUND
50000000000000000020,O3_TRADE_CLOSE_CLASSIFIER,PIPELINE_STAGE_MODULE,4,G5,Order Management & Routing,OMS_MODULE,S20,PHASE_I,trade_close_classifier.py,UNBOUND (not in map),execution-engine,,2,O3_PNL_CLASSIFIER,O3_PNL_CLASSIFIER,MISSING,KIND_MISMATCH | STALE_CSV_SYMBOL | SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000021,E1_OUTCOME_BUCKETIZER,PIPELINE_STAGE_MODULE,4,G7,Reentry Decision Engine,REENTRY_MODULE,S21,PHASE_I,outcome_bucketizer.py,UNBOUND (not in map),reentry-engine,,9,E1_OUTCOME_BUCKETIZER,,MISSING,KIND_MISMATCH | SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000022,E2_PROXIMITY_EVALUATOR,PIPELINE_STAGE_MODULE,4,G7,Reentry Decision Engine,REENTRY_MODULE,S22,PHASE_I,proximity_evaluator.py,UNBOUND (not in map),reentry-engine,,9,E2_PROXIMITY_EVALUATOR,,MISSING,KIND_MISMATCH | SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000023,E3_MATRIX_LOOKUP,PIPELINE_STAGE_MODULE,4,G7,Reentry Decision Engine,REENTRY_MODULE,S23,PHASE_I,matrix_lookup.py,UNBOUND (not in map),reentry-matrix-svc,,9,E3_MATRIX_LOOKUP,,YES (3 subs),KIND_MISMATCH | SERVICE_UNBOUND
50000000000000000024,E4_REENTRY_INTENT_BUILDER,PIPELINE_STAGE_MODULE,4,G7,Reentry Decision Engine,REENTRY_MODULE,S24,PHASE_I,reentry_intent_builder.py,UNBOUND (not in map),reentry-engine,,9,E4_REENTRY_INTENT_BUILDER,,MISSING,KIND_MISMATCH | SUBMODULE_UNDOC | SERVICE_UNBOUND
50000000000000000025,F1_FLOW_ORCHESTRATOR,INFRA_PLATFORM_MODULE,unassigned,G0,Infrastructure Platform,INFRA_PLATFORM_MODULE,S25,PHASE_J,orchestrator,flow-orchestrator (port 8088),flow-orchestrator,,0,,,MISSING,NO_FILES | SUBMODULE_UNDOC | LAYER_UNASSIGNED | PREFIX_COLLISION_F1
50000000000000000026,P1_HEALTH_AGGREGATOR,OBSERVABILITY_REPORTING_MODULE,1,G0,Infrastructure Platform,INFRA_PLATFORM_MODULE,S26,PHASE_J,health_service.py,telemetry-daemon / flow-monitor,telemetry-daemon,,12,P1_HEALTH_AGGREGATOR,,MISSING,KIND_MISMATCH | SUBMODULE_UNDOC
50000000000000000099,SHARED_LIBS,PIPELINE_STAGE_MODULE,unassigned,G10,Shared Libraries,SHARED_LIBS,,,,UNBOUND (not in map),common,,0,,,MISSING,KIND_MISMATCH | NO_FILES | SUBMODULE_UNDOC | SERVICE_UNBOUND | LAYER_UNASSIGNED
